#lambda[A]	Flux[microJy]
3.837e+03	8.851e-09
3.837e+03	5.708e-09
3.837e+03	3.643e-09
3.837e+03	2.302e-09
3.838e+03	1.440e-09
3.838e+03	8.913e-10
3.838e+03	5.461e-10
3.838e+03	3.313e-10
3.887e+03	4.765e-10
3.887e+03	7.856e-10
3.888e+03	1.282e-09
3.888e+03	2.071e-09
3.888e+03	3.311e-09
3.888e+03	5.240e-09
3.888e+03	8.210e-09
3.888e+03	1.273e-08
3.888e+03	1.954e-08
3.888e+03	2.969e-08
3.888e+03	4.466e-08
3.888e+03	6.648e-08
3.888e+03	9.797e-08
3.888e+03	1.429e-07
3.888e+03	2.063e-07
3.888e+03	2.949e-07
3.888e+03	4.172e-07
3.888e+03	5.842e-07
3.888e+03	8.097e-07
3.888e+03	1.111e-06
3.888e+03	1.509e-06
3.888e+03	2.028e-06
3.888e+03	2.699e-06
3.888e+03	3.555e-06
3.888e+03	4.635e-06
3.888e+03	5.982e-06
3.888e+03	7.642e-06
3.889e+03	9.663e-06
3.889e+03	1.209e-05
3.889e+03	1.498e-05
3.889e+03	1.838e-05
3.889e+03	2.231e-05
3.889e+03	2.681e-05
3.889e+03	3.188e-05
3.889e+03	3.754e-05
3.889e+03	4.374e-05
3.889e+03	5.046e-05
3.889e+03	5.762e-05
3.889e+03	6.512e-05
3.889e+03	7.286e-05
3.889e+03	8.068e-05
3.889e+03	8.844e-05
3.889e+03	9.596e-05
3.889e+03	1.031e-04
3.889e+03	1.096e-04
3.889e+03	1.153e-04
3.889e+03	1.201e-04
3.889e+03	1.238e-04
3.889e+03	1.264e-04
3.889e+03	1.277e-04
3.889e+03	1.277e-04
3.889e+03	1.264e-04
3.889e+03	1.238e-04
3.890e+03	1.201e-04
3.890e+03	1.153e-04
3.890e+03	1.096e-04
3.890e+03	1.031e-04
3.890e+03	9.596e-05
3.890e+03	8.844e-05
3.890e+03	8.068e-05
3.890e+03	7.286e-05
3.890e+03	6.512e-05
3.890e+03	5.762e-05
3.890e+03	5.046e-05
3.890e+03	4.374e-05
3.890e+03	3.754e-05
3.890e+03	3.188e-05
3.890e+03	2.681e-05
3.890e+03	2.231e-05
3.890e+03	1.838e-05
3.890e+03	1.498e-05
3.890e+03	1.209e-05
3.890e+03	9.663e-06
3.890e+03	7.642e-06
3.890e+03	5.982e-06
3.890e+03	4.635e-06
3.890e+03	3.555e-06
3.890e+03	2.699e-06
3.891e+03	2.028e-06
3.891e+03	1.509e-06
3.891e+03	1.111e-06
3.891e+03	8.097e-07
3.891e+03	5.842e-07
3.891e+03	4.172e-07
3.891e+03	2.949e-07
3.891e+03	2.063e-07
3.891e+03	1.429e-07
3.891e+03	9.797e-08
3.891e+03	6.648e-08
3.891e+03	4.466e-08
3.891e+03	2.969e-08
3.891e+03	1.954e-08
3.891e+03	1.273e-08
3.891e+03	8.210e-09
3.891e+03	5.240e-09
3.891e+03	3.311e-09
3.891e+03	2.071e-09
3.891e+03	1.282e-09
3.891e+03	7.856e-10
3.891e+03	4.765e-10
3.968e+03	7.170e-10
3.968e+03	1.182e-09
3.969e+03	1.929e-09
3.969e+03	3.116e-09
3.969e+03	4.982e-09
3.969e+03	7.886e-09
3.969e+03	1.235e-08
3.969e+03	1.916e-08
3.969e+03	2.941e-08
3.969e+03	4.468e-08
3.969e+03	6.720e-08
3.969e+03	1.000e-07
3.969e+03	1.474e-07
3.969e+03	2.150e-07
3.969e+03	3.105e-07
3.969e+03	4.437e-07
3.969e+03	6.278e-07
3.969e+03	8.791e-07
3.969e+03	1.218e-06
3.969e+03	1.672e-06
3.969e+03	2.270e-06
3.969e+03	3.052e-06
3.969e+03	4.061e-06
3.969e+03	5.350e-06
3.969e+03	6.975e-06
3.969e+03	9.001e-06
3.969e+03	1.150e-05
3.970e+03	1.454e-05
3.970e+03	1.820e-05
3.970e+03	2.255e-05
3.970e+03	2.765e-05
3.970e+03	3.357e-05
3.970e+03	4.034e-05
3.970e+03	4.797e-05
3.970e+03	5.648e-05
3.970e+03	6.582e-05
3.970e+03	7.593e-05
3.970e+03	8.670e-05
3.970e+03	9.799e-05
3.970e+03	1.096e-04
3.970e+03	1.214e-04
3.970e+03	1.331e-04
3.970e+03	1.444e-04
3.970e+03	1.551e-04
3.970e+03	1.649e-04
3.970e+03	1.735e-04
3.970e+03	1.807e-04
3.970e+03	1.864e-04
3.970e+03	1.902e-04
3.970e+03	1.922e-04
3.970e+03	1.922e-04
3.970e+03	1.902e-04
3.971e+03	1.864e-04
3.971e+03	1.807e-04
3.971e+03	1.735e-04
3.971e+03	1.649e-04
3.971e+03	1.551e-04
3.971e+03	1.444e-04
3.971e+03	1.331e-04
3.971e+03	1.214e-04
3.971e+03	1.096e-04
3.971e+03	9.799e-05
3.971e+03	8.670e-05
3.971e+03	7.593e-05
3.971e+03	6.582e-05
3.971e+03	5.648e-05
3.971e+03	4.797e-05
3.971e+03	4.034e-05
3.971e+03	3.357e-05
3.971e+03	2.765e-05
3.971e+03	2.255e-05
3.971e+03	1.820e-05
3.971e+03	1.454e-05
3.971e+03	1.150e-05
3.971e+03	9.001e-06
3.971e+03	6.975e-06
3.971e+03	5.350e-06
3.972e+03	4.061e-06
3.972e+03	3.052e-06
3.972e+03	2.270e-06
3.972e+03	1.672e-06
3.972e+03	1.218e-06
3.972e+03	8.791e-07
3.972e+03	6.278e-07
3.972e+03	4.437e-07
3.972e+03	3.105e-07
3.972e+03	2.150e-07
3.972e+03	1.474e-07
3.972e+03	1.000e-07
3.972e+03	6.720e-08
3.972e+03	4.468e-08
3.972e+03	2.941e-08
3.972e+03	1.916e-08
3.972e+03	1.235e-08
3.972e+03	7.886e-09
3.972e+03	4.982e-09
3.972e+03	3.116e-09
3.972e+03	1.929e-09
3.972e+03	1.182e-09
3.972e+03	7.170e-10
4.100e+03	1.162e-09
4.100e+03	1.915e-09
4.100e+03	3.126e-09
4.100e+03	5.049e-09
4.100e+03	8.073e-09
4.100e+03	1.278e-08
4.100e+03	2.002e-08
4.100e+03	3.104e-08
4.100e+03	4.765e-08
4.100e+03	7.240e-08
4.100e+03	1.089e-07
4.101e+03	1.621e-07
4.101e+03	2.389e-07
4.101e+03	3.484e-07
4.101e+03	5.031e-07
4.101e+03	7.190e-07
4.101e+03	1.017e-06
4.101e+03	1.424e-06
4.101e+03	1.974e-06
4.101e+03	2.709e-06
4.101e+03	3.679e-06
4.101e+03	4.945e-06
4.101e+03	6.581e-06
4.101e+03	8.668e-06
4.101e+03	1.130e-05
4.101e+03	1.458e-05
4.101e+03	1.863e-05
4.101e+03	2.356e-05
4.101e+03	2.949e-05
4.101e+03	3.653e-05
4.101e+03	4.480e-05
4.101e+03	5.439e-05
4.101e+03	6.535e-05
4.101e+03	7.773e-05
4.101e+03	9.152e-05
4.101e+03	1.067e-04
4.102e+03	1.230e-04
4.102e+03	1.405e-04
4.102e+03	1.588e-04
4.102e+03	1.776e-04
4.102e+03	1.967e-04
4.102e+03	2.156e-04
4.102e+03	2.340e-04
4.102e+03	2.513e-04
4.102e+03	2.672e-04
4.102e+03	2.811e-04
4.102e+03	2.928e-04
4.102e+03	3.020e-04
4.102e+03	3.082e-04
4.102e+03	3.113e-04
4.102e+03	3.113e-04
